DATE,BOA_CLOSE,CITY_CLOSE,WELLS_CLOSE,JPM_CLOSE,GDP_VALUE,UNEMPLO_RATE,INFLA_RATE,CC_VALUE,CPI_VALUE,GOLD_CLOSE,YIELD_VALUE
07-06-1999,33.125,331.40625,20.46875,51.16666667,9640.263736,4.223333333,1.826638356,138.0033333,166,265.4,6.695866667
08-06-1999,32.96875,323.90625,20.34375,49.91666667,9641.996747,4.226666667,1.828408219,138.0466667,166,262,6.701133333
09-06-1999,33.125,324.84375,20.21875,49.20833334,9643.729758,4.23,1.830178082,138.09,166,259.1,6.7064
10-06-1999,33.09375,316.875,19.75,48.75,9645.462769,4.233333333,1.831947945,138.1333333,166,258.2,6.711666667
11-06-1999,33.515625,322.96875,20.0625,48.83333334,9647.19578,4.236666667,1.833717808,138.1766667,166,260.4,6.716933333
12-06-1999,33.3125,320.625,19.98958333,48.94444445,9648.928791,4.24,1.835487671,138.22,166,260.35,6.7222
13-06-1999,33.109375,318.28125,19.91666667,49.05555556,9650.661802,4.243333333,1.837257534,138.2633333,166,260.3,6.727466667
14-06-1999,32.90625,315.9375,19.84375,49.16666667,9652.394813,4.246666667,1.839027397,138.3066667,166,260.25,6.732733333
15-06-1999,33.65625,328.59375,20.09375,50.08333334,9654.127824,4.25,1.84079726,138.35,166,258.9,6.738
16-06-1999,34.84375,345.9375,20.59375,53.58333334,9655.860835,4.253333333,1.842567123,138.3933333,166,258.2,6.743266667
17-06-1999,35.875,352.03125,21.25,52.95833334,9657.593846,4.256666667,1.844336986,138.4366667,166,258.2,6.748533333
18-06-1999,36.1875,347.34375,21.328125,53.41666667,9659.326857,4.26,1.846106849,138.48,166,259.3,6.7538
19-06-1999,36.07291667,348.59375,21.28125,54.16666667,9661.059868,4.263333333,1.847876712,138.5233333,166,259.1333333,6.759066667
20-06-1999,35.95833333,349.84375,21.234375,54.91666667,9662.792879,4.266666667,1.849646575,138.5666667,166,258.9666667,6.764333333
21-06-1999,35.84375,351.09375,21.1875,55.66666667,9664.52589,4.27,1.851416438,138.61,166,258.8,6.7696
22-06-1999,35.875,346.875,21.3125,54.5,9666.258901,4.273333333,1.853186301,138.6533333,166,258.1,6.774866667
23-06-1999,35.28125,342.65625,21.1875,53.5,9667.991912,4.276666667,1.854956164,138.6966667,166,260.4,6.780133333
24-06-1999,34.5,328.59375,20.9375,53.33333334,9669.724923,4.28,1.856726027,138.74,166,260.7,6.7854
25-06-1999,35.1875,328.59375,21.40625,54.125,9671.457934,4.283333333,1.85849589,138.7833333,166,259.4,6.790666667
26-06-1999,35.375,334.0625,21.4375,54.44444445,9673.190945,4.286666667,1.860265753,138.8266667,166,259.7,6.795933333
27-06-1999,35.5625,339.53125,21.46875,54.76388889,9674.923956,4.29,1.862035616,138.87,166,260,6.8012
28-06-1999,35.75,345,21.5,55.08333334,9676.656967,4.293333333,1.863805479,138.9133333,166,260.3,6.806466667
29-06-1999,36.5,345.46875,22,55.08333334,9678.389978,4.296666667,1.865575342,138.9566667,166,260.5,6.811733333
30-06-1999,36.65625,356.25,21.375,57.66666667,9680.122989,4.3,1.867345205,139,166,262.25,6.817
01-07-1999,37.25,363.75,21.8125,57.29166667,9681.856,4.3,1.869115068,138.9096774,166.0225806,263.2,6.82383871
02-07-1999,37.21875,367.03125,22.03125,56.70833334,9684.22037,4.3,1.870884932,138.8193548,166.0451613,263,6.830677419
03-07-1999,37.3046875,366.9140625,22.125,56.875,9686.584739,4.3,1.872654795,138.7290323,166.0677419,262.6166667,6.837516129
04-07-1999,37.390625,366.796875,22.21875,57.04166667,9688.949109,4.3,1.874424658,138.6387097,166.0903226,262.2333333,6.844354839
05-07-1999,37.4765625,366.6796875,22.3125,57.20833334,9691.313478,4.3,1.876194521,138.5483871,166.1129032,261.85,6.851193548
06-07-1999,37.5625,366.5625,22.40625,57.375,9693.677848,4.3,1.877964384,138.4580645,166.1354839,257,6.858032258
07-07-1999,37.46875,365.625,22.40625,56.41666667,9696.042217,4.3,1.879734247,138.3677419,166.1580645,256.9,6.864870968
08-07-1999,37.625,361.875,22.375,57,9698.406587,4.3,1.88150411,138.2774194,166.1806452,256.25,6.871709677
09-07-1999,37.25,367.03125,22.59375,56.79166667,9700.770957,4.3,1.883273973,138.1870968,166.2032258,256.8,6.878548387
10-07-1999,37.27083333,366.5625,22.34375,56.55555556,9703.135326,4.3,1.885043836,138.0967742,166.2258065,256.3333333,6.885387097
11-07-1999,37.29166667,366.09375,22.09375,56.31944445,9705.499696,4.3,1.886813699,138.0064516,166.2483871,255.8666667,6.892225806
12-07-1999,37.3125,365.625,21.84375,56.08333334,9707.864065,4.3,1.888583562,137.916129,166.2709677,255.4,6.899064516
13-07-1999,36.90625,357.65625,21.875,55.20833334,9710.228435,4.3,1.890353425,137.8258065,166.2935484,255.6,6.905903226
14-07-1999,36.96875,355.78125,21.5,54.5,9712.592804,4.3,1.892123288,137.7354839,166.316129,253.75,6.912741935
15-07-1999,37.34375,360,21.5,54.75,9714.957174,4.3,1.893893151,137.6451613,166.3387097,253.8,6.919580645
16-07-1999,37.75,367.5,21.5625,54.54166667,9717.321543,4.3,1.895663014,137.5548387,166.3612903,253.5,6.926419355
17-07-1999,37.5,367.96875,21.48958333,54.61111111,9719.685913,4.3,1.897432877,137.4645161,166.383871,253.3333333,6.933258065
18-07-1999,37.25,368.4375,21.41666667,54.68055556,9722.050283,4.3,1.89920274,137.3741935,166.4064516,253.1666667,6.940096774
19-07-1999,37,368.90625,21.34375,54.75,9724.414652,4.3,1.900972603,137.283871,166.4290323,253,6.946935484
20-07-1999,35.875,364.6875,21.03125,53.91666667,9726.779022,4.3,1.902742466,137.1935484,166.4516129,253.1,6.953774194
21-07-1999,34.65625,356.71875,20.90625,54.20833334,9729.143391,4.3,1.904512329,137.1032258,166.4741935,254.9,6.960612903
22-07-1999,34.6875,359.0625,20.96875,55.54166667,9731.507761,4.3,1.906282192,137.0129032,166.4967742,255.7,6.967451613
23-07-1999,34.3125,355.3125,20.84375,54.375,9733.87213,4.3,1.908052055,136.9225806,166.5193548,254.5,6.974290323
24-07-1999,34.51041667,354.6875,20.70833333,54.66666667,9736.2365,4.3,1.909821918,136.8322581,166.5419355,254.1666667,6.981129032
25-07-1999,34.70833333,354.0625,20.57291667,54.95833334,9738.60087,4.3,1.911591781,136.7419355,166.5645161,253.8333333,6.987967742
26-07-1999,34.90625,353.4375,20.4375,55.25,9740.965239,4.3,1.913361644,136.6516129,166.5870968,253.5,6.994806452
27-07-1999,35.125,354.375,20.53125,55.83333334,9743.329609,4.3,1.915131507,136.5612903,166.6096774,253.8,7.001645161
28-07-1999,35,356.71875,20.40625,55.29166667,9745.693978,4.3,1.91690137,136.4709677,166.6322581,253.9,7.008483871
29-07-1999,34.1875,343.125,20.15625,53.5,9748.058348,4.3,1.918671233,136.3806452,166.6548387,256.5,7.015322581
